x_from=50000
x_to=51000
now is 2014-03-10.00:33:51
50006^36 + 30073^82
50006^93 + 17577^13
50006^65 + 5145^93
50006^39 + 30197^29
50006^50 + 5189^82
50006^11 + 5221^46
50006^84 + 30271^52
50006^16 + 30351^14
50006^4 + 17839^84
50006^8 + 5417^91
50006^59 + 30461^21
50006^93 + 30467^37
50006^69 + 30469^80
50006^56 + 24113^70
50006^54 + 30521^89
50006^25 + 5495^15
50006^82 + 17979^77
50006^79 + 30603^99
50006^100 + 30649^64
50006^21 + 30677^46
50006^83 + 18125^81
50006^10 + 30857^58
50006^25 + 5857^42
50006^19 + 18341^98
50006^96 + 5869^79
50006^71 + 5959^3
50006^67 + 30985^87
50006^86 + 18459^27
50006^8 + 24613^79
50006^18 + 18517^87
50006^16 + 24667^15
50006^47 + 18529^91
50006^69 + 31079^97
50006^33 + 6077^42
50006^53 + 24741^76
50006^63 + 31155^64
50006^76 + 31307^43
50006^15 + 43763^75
50006^43 + 37661^67
50006^99 + 37699^19
50006^58 + 44021^95
50006^76 + 44029^94
50006^94 + 31727^56
50006^37 + 37981^35
50006^10 + 38017^47
50006^84 + 6779^89
50006^64 + 6817^17
50006^15 + 44331^83
50006^65 + 44427^36
50006^74 + 38315^17
50006^43 + 38331^31
50006^18 + 38363^46
50006^8 + 32225^15
50006^75 + 44647^76
50006^3 + 38483^56
50006^77 + 7279^98
50006^27 + 38521^90
50006^29 + 38579^10
50006^33 + 44797^47
50006^61 + 7459^11
50006^36 + 38685^50
50006^24 + 32545^11
50006^38 + 32563^77
50006^38 + 45019^92
50006^81 + 32683^80
50006^35 + 45053^34
50006^56 + 32739^13
50006^6 + 7985^25
50006^19 + 7985^27
50006^11 + 39207^52
50006^82 + 45417^8
50006^73 + 8039^98
50006^68 + 8115^81
50006^85 + 45593^98
50006^23 + 8227^20
50006^16 + 33261^58
50006^31 + 39505^99
50006^29 + 8335^74
50006^77 + 39557^98
50006^48 + 33359^8
50006^21 + 45839^14
50006^25 + 45869^53
50006^29 + 8489^32
50006^56 + 45887^66
50006^60 + 39879^9
50006^21 + 39905^34
50006^97 + 33743^26
50006^80 + 8747^96
50006^96 + 33881^36
50006^30 + 33941^64
50006^20 + 33993^34
50006^80 + 9021^16
50006^68 + 46383^72
50006^41 + 34043^31
50006^55 + 34211^18
50006^68 + 9301^71
50006^39 + 9385^68
50006^85 + 40599^74
50006^66 + 40613^40
50006^97 + 46775^27
50006^65 + 46787^64
50006^27 + 46847^90
50006^20 + 34531^28
50006^23 + 40735^51
50006^16 + 40741^56
50006^91 + 40763^65
50006^6 + 34621^62
50006^23 + 40903^3
50006^3 + 41021^31
50006^95 + 47167^49
50006^69 + 9857^97
50006^89 + 34885^76
50006^97 + 34891^16
50006^94 + 47397^95
50006^4 + 47447^19
50006^7 + 41303^84
50006^66 + 47453^75
50006^48 + 41315^86
50006^44 + 35177^3
50006^86 + 47547^81
50006^49 + 10261^37
50006^54 + 41501^75
50006^57 + 47771^71
50006^7 + 41649^31
50006^99 + 41651^66
50006^28 + 10489^64
50006^53 + 47973^40
50006^80 + 41927^86
50006^88 + 10767^91
50006^10 + 10783^16
50006^9 + 35787^18
50006^38 + 42151^63
50006^89 + 11003^62
50006^89 + 42167^100
50006^20 + 11025^74
50006^57 + 11049^96
50006^72 + 48409^58
50006^60 + 36147^80
50006^77 + 48495^33
50006^46 + 11241^62
50006^97 + 11277^5
50006^81 + 36285^40
50006^94 + 42541^69
50006^68 + 11405^35
50006^88 + 48787^86
50006^18 + 42737^40
50006^6 + 11651^50
50006^95 + 36675^44
50006^91 + 42873^86
50006^3 + 48999^40
50006^86 + 36755^7
50006^80 + 49017^47
50006^28 + 42919^95
50006^55 + 36813^94
50006^28 + 42989^47
50006^92 + 49111^91
50006^54 + 11897^81
50006^27 + 11917^44
50006^46 + 49381^77
50006^89 + 43245^64
50006^73 + 12081^96
50006^100 + 49465^90
50006^34 + 43399^33
50006^97 + 49603^85
50006^19 + 12257^64
50006^79 + 12269^91
50006^93 + 49677^25
50006^40 + 43555^20
50006^75 + 49705^63
50006^12 + 12475^11
50006^25 + 49891^23
50006^4 + 49939^83
50007^91 + 25021^37
50007^55 + 12565^97
50007^62 + 18875^17
50007^65 + 208^96
50007^21 + 25217^95
50007^16 + 25231^17
y=19000
50007^76 + 12806^84
50007^32 + 323^43
50007^88 + 12835^39
50007^39 + 25355^57
50007^95 + 374^86
50007^10 + 19156^24
50007^30 + 12865^97
50007^96 + 379^72
50007^10 + 25465^8
50007^66 + 19232^76
50007^88 + 12968^41
50007^80 + 457^43
50007^24 + 19268^31
50007^9 + 19277^25
50007^78 + 25537^90
y=13000
50007^12 + 25540^18
50007^90 + 19282^52
50007^85 + 19285^36
50007^83 + 13040^60
50007^8 + 19349^94
50007^73 + 19364^39
50007^50 + 25672^38
50007^60 + 19519^77
50007^94 + 13322^75
50007^96 + 838^62
50007^24 + 19646^11
50007^67 + 13438^69
50007^78 + 932^80
50007^33 + 934^35
50007^71 + 13445^84
50007^41 + 13450^8
y=26000
50007^50 + 946^56
50007^36 + 995^88
y=1000
50007^86 + 1010^91
50007^16 + 13552^32
50007^23 + 19927^28
50007^51 + 1145^24
50007^36 + 26206^84
50007^15 + 1168^17
50007^30 + 26239^59
50007^38 + 13706^74
y=20000
50007^35 + 1250^3
50007^67 + 13766^65
50007^54 + 26387^13
50007^70 + 1432^24
50007^62 + 1442^40
50007^69 + 13990^26
50007^48 + 26545^16
y=14000
50007^78 + 14039^82
50007^56 + 1558^86
50007^21 + 14125^26
50007^31 + 14155^89
50007^30 + 1711^44
50007^20 + 14240^22
50007^25 + 26822^25
50007^30 + 14285^16
50007^66 + 20591^29
50007^42 + 1805^69
50007^37 + 26867^64
50007^83 + 20614^19
50007^95 + 26872^89
50007^88 + 14317^73
50007^30 + 14369^33
y=2000
50007^46 + 2086^45
50007^30 + 2104^83
50007^32 + 27164^54
50007^6 + 20944^20
50007^45 + 2185^74
50007^12 + 27266^69
50007^32 + 2314^11
50007^7 + 14888^10
50007^34 + 21233^11
50007^21 + 14926^94
50007^37 + 21250^89
50007^43 + 21277^73
50007^18 + 2507^81
50007^46 + 21292^4
50007^67 + 2527^62
50007^12 + 27575^91
50007^54 + 27598^9
50007^15 + 27614^57
50007^79 + 21373^9
50007^53 + 21374^71
50007^40 + 15065^65
50007^8 + 21404^75
50007^32 + 15101^39
50007^86 + 15173^14
50007^53 + 15178^94
50007^64 + 15217^6
50007^90 + 21539^89
50007^36 + 15229^60
50007^16 + 15253^46
50007^71 + 27830^70
50007^4 + 2857^45
50007^5 + 21677^24
y=28000
50007^55 + 15452^46
50007^70 + 15460^61
50007^53 + 28130^32
50007^41 + 3089^59
50007^46 + 3094^61
50007^56 + 21841^58
50007^75 + 15583^94
50007^90 + 21889^14
50007^53 + 3230^92
y=22000
50007^48 + 15833^82
50007^74 + 22147^97
50007^37 + 15890^67
50007^59 + 15896^18
50007^5 + 22246^34
y=16000
50007^5 + 16006^64
50007^87 + 22309^17
50007^73 + 28622^16
50007^85 + 16052^51
50007^31 + 3590^67
50007^61 + 28681^98
50007^44 + 28687^26
50007^42 + 22400^26
50007^42 + 22430^12
50007^89 + 22457^55
50007^86 + 3680^19
50007^48 + 16265^66
50007^33 + 22547^38
50007^85 + 3878^95
50007^12 + 3883^19
50007^9 + 28970^48
y=29000
50007^93 + 3941^50
50007^73 + 16447^60
50007^49 + 16456^40
50007^13 + 22751^58
y=4000
50007^25 + 4010^36
50007^38 + 16519^53
50007^92 + 22946^32
50007^51 + 4181^37
50007^82 + 29258^93
y=23000
50007^74 + 29324^59
50007^13 + 16808^55
50007^31 + 16847^56
50007^20 + 23174^38
50007^11 + 4412^21
50007^68 + 4412^65
50007^38 + 4418^100
50007^24 + 16886^52
y=17000
50007^9 + 29665^7
50007^45 + 29723^58
50007^15 + 23471^48
50007^34 + 4706^43
50007^57 + 17225^79
50007^82 + 17294^26
50007^71 + 23696^30
50007^88 + 23749^71
y=5000
50007^58 + 30089^13
50007^6 + 30344^17
50007^71 + 24115^77
50007^27 + 24116^39
50007^32 + 17819^74
50007^21 + 30422^15
50007^90 + 5366^56
50007^60 + 24245^38
50007^41 + 5468^70
50007^57 + 17948^60
50007^72 + 24340^74
50007^85 + 18026^54
50007^19 + 24377^79
50007^17 + 30673^19
50007^67 + 18104^66
50007^60 + 5666^99
50007^6 + 24455^96
50007^36 + 5704^34
50007^70 + 18164^82
50007^17 + 5723^42
50007^55 + 5731^68
50007^59 + 30824^49
50007^76 + 24638^5
50007^50 + 18313^68
50007^30 + 18364^88
50007^57 + 18389^99
50007^65 + 24725^26
y=31000
50007^18 + 6013^42
50007^80 + 24856^3
50007^39 + 6122^56
50007^94 + 24950^95
50007^75 + 6203^56
50007^96 + 6205^49
y=25000
50007^73 + 6308^25
50007^38 + 6322^83
50007^6 + 37621^3
50007^32 + 6373^81
50007^15 + 34529^97
50007^48 + 34589^11
50007^35 + 34630^14
50007^44 + 6544^98
50007^3 + 31601^72
50007^27 + 34664^48
50007^86 + 37861^43
50007^6 + 37889^5
50007^55 + 37912^13
50007^43 + 6637^24
50007^44 + 6671^87
50007^47 + 37960^24
50007^7 + 31733^67
y=38000
50007^22 + 31775^67
50007^91 + 6739^56
50007^87 + 6743^35
50007^36 + 31814^94
50007^84 + 31819^69
50007^53 + 38131^54
50007^93 + 34958^16
y=35000
50007^54 + 31954^51
50007^46 + 31970^46
50007^35 + 31976^38
y=32000
50007^5 + 32005^10
50007^5 + 7000^63
y=7000
50007^22 + 32054^6
50007^13 + 35122^39
50007^12 + 35140^5
50007^48 + 32089^53
50007^70 + 38359^38
50007^41 + 7081^24
50007^91 + 35186^47
50007^77 + 32158^17
50007^46 + 35294^37
50007^65 + 7193^88
50007^82 + 38504^81
50007^82 + 7244^41
50007^72 + 32293^11
50007^80 + 38522^13
50007^15 + 35437^72
50007^60 + 32369^18
50007^67 + 35453^77
50007^30 + 35473^83
50007^97 + 38705^38
50007^42 + 35564^78
50007^82 + 35572^11
50007^27 + 35608^82
50007^18 + 38762^39
50007^14 + 32555^63
50007^24 + 7601^5
50007^45 + 35704^41
50007^58 + 32654^33
50007^54 + 7621^90
50007^19 + 7799^45
50007^36 + 39137^33
50007^66 + 7973^72
50007^54 + 33008^47
y=8000
50007^82 + 39266^71
50007^10 + 36154^99
50007^77 + 36197^37
50007^53 + 8144^100
50007^21 + 33187^59
50007^79 + 33272^80
50007^48 + 8273^58
50007^16 + 36380^87
50007^57 + 33326^18
50007^86 + 33358^84
50007^32 + 36424^50
50007^7 + 36440^78
50007^90 + 33422^34
50007^42 + 33428^6
50007^21 + 8429^58
50007^43 + 33470^27
50007^64 + 8452^92
50007^90 + 8489^36
50007^84 + 36601^88
50007^75 + 8519^21
50007^69 + 36635^57
50007^81 + 8548^66
50007^79 + 33604^63
50007^62 + 33707^38
50007^23 + 8680^39
50007^38 + 36836^45
50007^80 + 33773^87
y=40000
50007^80 + 8764^13
50007^66 + 33862^55
50007^35 + 40133^33
y=37000
50007^80 + 33947^88
50007^8 + 37013^85
50007^28 + 8912^76
50007^10 + 8929^99
y=34000
50007^67 + 37054^92
50007^26 + 34004^87
50007^80 + 8965^75
50007^80 + 34021^92
50007^10 + 37183^99
50007^48 + 37240^51
50007^85 + 9161^79
50007^35 + 34246^82
50007^16 + 40483^34
50007^62 + 37349^53
50007^24 + 37384^30
50007^51 + 40553^58
50007^85 + 37417^55
50007^27 + 43774^40
50007^53 + 46900^35
50007^19 + 43873^87
50007^80 + 46942^42
50007^80 + 46967^8
50007^73 + 9505^58
50007^28 + 43913^80
y=47000
50007^56 + 9530^37
50007^43 + 9539^58
50007^30 + 43958^82
50007^31 + 43996^99
y=44000
50007^30 + 9673^43
50007^38 + 47147^44
50007^27 + 44084^36
50007^90 + 9707^55
50007^40 + 47204^62
y=41000
50007^91 + 47299^19
50007^19 + 41110^35
50007^93 + 9863^14
50007^59 + 44273^26
50007^35 + 9892^53
50007^94 + 44315^28
50007^99 + 41177^90
50007^92 + 9935^57
y=10000
50007^96 + 10084^35
50007^85 + 10108^53
50007^99 + 44515^24
50007^32 + 44536^40
50007^94 + 47696^94
50007^82 + 41498^88
50007^92 + 10283^37
50007^46 + 10304^46
50007^63 + 44716^61
50007^27 + 44815^78
50007^37 + 44954^92
50007^19 + 45004^45
50007^36 + 48136^7
50007^83 + 10705^5
50007^69 + 48247^12
50007^8 + 48355^92
50007^65 + 42146^57
50007^23 + 48386^37
50007^15 + 10951^88
50007^100 + 48424^47
50007^51 + 10970^76
50007^19 + 10988^97
50007^6 + 10990^56
y=11000
50007^75 + 45398^49
50007^89 + 11096^89
50007^29 + 11098^4
50007^88 + 45668^7
50007^55 + 42563^8
50007^80 + 42571^76
50007^54 + 45700^27
50007^79 + 42607^75
50007^27 + 45740^30
50007^75 + 11368^96
50007^48 + 48853^16
50007^33 + 45839^83
50007^89 + 11506^90
y=49000
50007^5 + 45895^43
50007^16 + 49033^15
50007^54 + 49063^21
50007^65 + 45959^68
50007^42 + 42881^3
y=46000
50007^16 + 49126^75
50007^11 + 46049^9
50007^14 + 49198^4
50007^15 + 42977^57
50007^3 + 11737^60
y=43000
50007^86 + 43001^41
50007^97 + 11776^96
50007^65 + 11827^22
50007^100 + 46214^65
50007^95 + 43114^47
50007^17 + 46279^69
50007^51 + 43160^21
50007^81 + 49439^42
50007^56 + 46339^69
50007^65 + 43264^48
50007^46 + 43274^73
50007^18 + 12038^74
50007^9 + 12064^50
50007^28 + 12109^98
50007^89 + 49636^87
50007^31 + 49646^53
50007^61 + 49676^97
50007^4 + 46657^21
50007^89 + 12278^98
50007^36 + 46759^77
50007^7 + 49915^73
50007^82 + 12440^4
y=50000
50008^60 + 25017^44
50008^10 + 6281^7
50008^71 + 12609^26
50008^32 + 6357^35
50008^31 + 113^21
50008^64 + 25159^27
50008^60 + 25185^31
50008^21 + 6443^93
50008^88 + 215^21
50008^71 + 25283^25
50008^81 + 12795^87
50008^78 + 295^97
50008^51 + 25545^60
50008^41 + 557^10
50008^20 + 25715^62
50008^72 + 7043^20
50008^7 + 7081^57
50008^14 + 13437^15
50008^86 + 13459^91
50008^63 + 13463^28
50008^87 + 25997^54
50008^73 + 26029^46
50008^47 + 13551^38
50008^82 + 13709^10
50008^29 + 26339^4
50008^23 + 7769^86
50008^39 + 7867^3
50008^14 + 14205^19
50008^91 + 7991^32
50008^51 + 8077^65
50008^87 + 1825^82
50008^63 + 1837^97
50008^63 + 8171^33
50008^39 + 1983^84
50008^20 + 8353^77
50008^21 + 14639^20
50008^38 + 27177^85
50008^80 + 2201^75
50008^58 + 8517^75
50008^25 + 27281^23
50008^19 + 27327^91
50008^21 + 14923^50
50008^94 + 2441^97
50008^74 + 8741^54
50008^34 + 15065^71
50008^53 + 2573^7
50008^59 + 15291^50
50008^44 + 2777^77
50008^31 + 15329^49
50008^95 + 27915^98
50008^87 + 27945^14
50008^81 + 15553^68
50008^78 + 9337^37
50008^62 + 9395^26
50008^46 + 28335^4
50008^64 + 3357^50
50008^11 + 15973^88
50008^11 + 9675^63
50008^95 + 9679^100
50008^37 + 9711^51
50008^36 + 9763^18
50008^15 + 16109^70
50008^92 + 28583^29
50008^99 + 9833^50
50008^86 + 28663^63
50008^21 + 28753^26
50008^45 + 16323^80
50008^54 + 3873^13
50008^64 + 10083^17
50008^5 + 10095^28
50008^100 + 16437^8
50008^86 + 16449^59
50008^29 + 16501^58
50008^32 + 29003^81
50008^67 + 16699^89
50008^90 + 29257^70
50008^70 + 4317^72
50008^56 + 29293^84
50008^31 + 4401^51
50008^32 + 29359^97
50008^86 + 16923^59
50008^6 + 10635^18
50008^52 + 17011^99
50008^22 + 29483^71
50008^66 + 10783^77
50008^83 + 4595^63
50008^50 + 10831^53
50008^23 + 29593^26
50008^29 + 10909^4
50008^93 + 10943^25
50008^59 + 4723^74
50008^13 + 29693^65
50008^37 + 17307^86
50008^26 + 11015^92
50008^100 + 29707^7
50008^97 + 17375^91
50008^3 + 17407^23
50008^55 + 17431^22
50008^94 + 4995^8
50008^38 + 5081^85
50008^90 + 5113^25
50008^56 + 5165^76
50008^32 + 11401^57
50008^97 + 30117^75
50008^50 + 30137^100
50008^56 + 17833^5
50008^81 + 11629^4
50008^33 + 5427^45
50008^16 + 11687^10
50008^45 + 5553^78
50008^13 + 5591^42
50008^82 + 11885^35
50008^73 + 30633^16
50008^18 + 30637^45
50008^60 + 30683^6
50008^30 + 5765^47
50008^74 + 12039^69
50008^7 + 18365^79
50008^38 + 5855^100
50008^69 + 5869^18
50008^67 + 18441^34
50008^63 + 5921^72
50008^87 + 5963^57
50008^83 + 12219^19
50008^80 + 18531^66
50008^5 + 30925^53
50008^23 + 6117^16
50008^62 + 31089^43
50008^75 + 12443^52
50008^21 + 12471^43
50008^72 + 43963^12
50008^61 + 31527^65
50008^90 + 19193^41
50008^85 + 19213^84
50008^28 + 38037^15
50008^74 + 31727^74
50008^30 + 44311^43
50008^45 + 31797^62
50008^38 + 19457^67
50008^77 + 31951^53
50008^93 + 38355^81
50008^58 + 44581^27
50008^32 + 38505^17
50008^85 + 19795^14
50008^73 + 19829^51
50008^27 + 38565^60
50008^59 + 44815^20
50008^39 + 32413^85
50008^27 + 32415^55
50008^32 + 45077^7
50008^9 + 32533^14
50008^55 + 20369^37
50008^45 + 39135^97
50008^87 + 20427^72
50008^38 + 20551^23
50008^96 + 45463^41
50008^10 + 33011^5
50008^52 + 33129^94
50008^43 + 20857^38
50008^74 + 39651^19
50008^15 + 39693^68
50008^90 + 33311^40
50008^85 + 21003^86
50008^92 + 45945^80
50008^80 + 39811^31
50008^22 + 21129^40
50008^19 + 46139^67
50008^88 + 39955^58
50008^48 + 21297^87
50008^94 + 33683^70
50008^73 + 40113^26
50008^43 + 40133^37
50008^61 + 46373^79
50008^57 + 46385^55
50008^72 + 21625^46
50008^20 + 46689^99
50008^72 + 21845^51
50008^72 + 40735^84
50008^76 + 22117^89
50008^76 + 22123^54
50008^35 + 22143^98
50008^82 + 47049^68
50008^98 + 22207^41
50008^76 + 47171^72
50008^8 + 22269^54
50008^9 + 47193^4
50008^57 + 47255^58
50008^54 + 47365^29
50008^97 + 22551^33
50008^38 + 22635^16
50008^4 + 47583^77
50008^38 + 35085^18
50008^66 + 35099^95
50008^49 + 22811^92
50008^32 + 35237^12
50008^91 + 22917^80
50008^61 + 22935^18
50008^71 + 35341^34
50008^9 + 35459^21
50008^38 + 48063^49
50008^82 + 23169^55
50008^54 + 23323^25
50008^67 + 23431^25
50008^99 + 48459^20
50008^45 + 48521^50
50008^59 + 23627^55
50008^46 + 36011^70
50008^22 + 36131^100
50008^38 + 23791^17
50008^26 + 48719^29
50008^82 + 36163^41
50008^87 + 36165^26
50008^32 + 36171^63
50008^43 + 23827^13
50008^84 + 36275^64
50008^45 + 48871^76
50008^51 + 42753^36
50008^92 + 36531^96
50008^16 + 49117^39
50008^24 + 42985^17
50008^98 + 49289^71
50008^96 + 43095^74
50008^99 + 24429^34
50008^21 + 49351^4
50008^65 + 24481^31
50008^52 + 49411^38
50008^9 + 49433^77
50008^82 + 49443^74
50008^57 + 24537^42
50008^15 + 24597^51
50008^48 + 49507^51
50008^84 + 43293^48
50008^60 + 24629^50
50008^84 + 24669^31
50008^88 + 49597^73
50008^47 + 24725^42
50008^86 + 43413^75
50008^70 + 43511^36
50008^57 + 49745^88
50008^94 + 43525^29
50008^23 + 43539^38
50008^32 + 37241^8
50008^60 + 24915^3
50009^63 + 12538^81
50009^65 + 37531^69
50009^96 + 130^46
50009^73 + 12640^23
50009^36 + 12683^44
50009^78 + 37694^100
50009^78 + 25219^79
50009^83 + 12838^25
50009^43 + 25352^76
50009^72 + 25352^76
50009^52 + 12884^28
50009^58 + 25395^16
50009^17 + 397^97
50009^20 + 12907^99
50009^65 + 25451^70
50009^68 + 12945^48
50009^29 + 448^56
50009^94 + 25482^18
50009^64 + 37970^48
y=13000
y=38000
50009^50 + 13019^89
50009^68 + 13042^29
50009^11 + 13062^78
50009^85 + 25594^97
50009^5 + 38085^53
50009^84 + 25613^100
50009^51 + 13108^90
50009^3 + 25680^68
50009^92 + 25694^88
50009^56 + 13218^17
50009^52 + 747^74
50009^25 + 38246^24
50009^46 + 13255^3
50009^8 + 25778^34
50009^32 + 38267^46
50009^30 + 13293^27
50009^97 + 848^97
50009^55 + 25889^92
50009^92 + 902^53
50009^73 + 25926^95
50009^25 + 25946^3
50009^88 + 13429^91
50009^80 + 13457^36
50009^75 + 25974^78
50009^46 + 25994^71
y=26000
50009^72 + 13491^33
y=1000
50009^30 + 13510^62
50009^99 + 13516^91
50009^68 + 26057^80
50009^35 + 26071^23
50009^100 + 13580^45
50009^60 + 1087^54
50009^80 + 26112^50
50009^57 + 1148^17
50009^39 + 1214^31
50009^23 + 13754^97
50009^18 + 38771^91
50009^96 + 38776^37
50009^68 + 38778^76
50009^25 + 1305^8
50009^52 + 38805^48
50009^13 + 1318^45
50009^79 + 13825^89
50009^97 + 1341^7
50009^98 + 38867^73
50009^58 + 1424^42
50009^25 + 1450^79
50009^74 + 38961^77
50009^76 + 38972^86
50009^53 + 1500^35
y=14000
y=39000
50009^79 + 26529^68
50009^48 + 39038^27
50009^77 + 39038^100
50009^29 + 26607^56
50009^58 + 39152^81
50009^72 + 26697^3
50009^35 + 26714^7
50009^6 + 1705^49
50009^48 + 39207^76
50009^29 + 1721^12
50009^86 + 26753^80
50009^52 + 14321^86
50009^15 + 14340^93
50009^86 + 1831^57
50009^79 + 14363^3
50009^86 + 39351^4
50009^24 + 26888^7
50009^76 + 14384^18
50009^82 + 39429^93
50009^49 + 14440^97
50009^60 + 1945^16
y=27000
y=2000
50009^26 + 27061^57
50009^96 + 27072^23
50009^27 + 14578^31
50009^70 + 39579^74
50009^58 + 2099^54
50009^51 + 27129^42
50009^54 + 2115^59
50009^70 + 27144^41
50009^94 + 2139^77
50009^93 + 14650^56
50009^63 + 14652^52
50009^99 + 14659^9
50009^52 + 39671^38
50009^72 + 14684^94
50009^35 + 27175^91
50009^31 + 2201^81
50009^81 + 14713^41
50009^57 + 2214^41
50009^18 + 14724^82
50009^44 + 2252^68
50009^78 + 39773^61
50009^75 + 27280^81
50009^97 + 39787^47
50009^26 + 27332^69
50009^33 + 14860^42
50009^64 + 27358^70
50009^87 + 14869^14
50009^10 + 39952^51
50009^78 + 14951^24
50009^40 + 14990^82
y=40000
y=15000
50009^16 + 15019^58
50009^77 + 2535^9
50009^27 + 2564^3
50009^58 + 15053^20
50009^39 + 15064^33
50009^59 + 27629^20
50009^48 + 40147^96
50009^56 + 2654^30
50009^45 + 15146^73
50009^23 + 15252^98
50009^58 + 40264^43
50009^58 + 2770^40
50009^34 + 15260^48
50009^77 + 15297^20
50009^93 + 27800^24
50009^59 + 40313^17
50009^4 + 40321^95
50009^10 + 2844^78
50009^75 + 40340^19
50009^52 + 2920^66
50009^56 + 40422^20
50009^57 + 40435^80
50009^58 + 2962^7
50009^87 + 15464^10
50009^10 + 15467^55
50009^74 + 40480^19
50009^30 + 40485^27
y=3000
y=28000
50009^56 + 40535^9
50009^46 + 28033^56
50009^36 + 3062^79
50009^78 + 3066^66
50009^68 + 15560^69
50009^93 + 15598^96
50009^88 + 3114^96
50009^87 + 3120^85
50009^39 + 28118^13
50009^93 + 3151^44
50009^15 + 15671^32
50009^67 + 28196^70
50009^3 + 3244^74
50009^15 + 28249^20
50009^29 + 40775^77
50009^56 + 15811^9
50009^93 + 15836^73
50009^3 + 28393^9
50009^87 + 3410^41
50009^52 + 40919^81
50009^61 + 28485^46
y=16000
50009^76 + 16001^20
50009^36 + 40995^24
50009^71 + 28491^32
y=41000
50009^62 + 41021^92
50009^47 + 16045^23
50009^16 + 41049^50
50009^22 + 3585^11
50009^30 + 41080^23
50009^72 + 28576^21
50009^92 + 28616^99
50009^84 + 3650^60
50009^100 + 16177^85
50009^81 + 3687^67
50009^17 + 3689^96
50009^53 + 3724^65
50009^67 + 41234^35
50009^53 + 3801^77
50009^34 + 41338^26
50009^16 + 3862^90
50009^69 + 28865^53
50009^12 + 3891^63
50009^8 + 41395^78
50009^6 + 41401^83
50009^6 + 16473^31
50009^54 + 28958^28
50009^28 + 3971^39
50009^89 + 28983^10
y=4000
50009^83 + 28994^67
y=29000
50009^96 + 29036^54
50009^81 + 16584^9
50009^39 + 4098^11
50009^27 + 41621^12
50009^20 + 29110^44
50009^100 + 4143^99
50009^52 + 41683^42
50009^26 + 29206^6
50009^39 + 29220^25
50009^61 + 29231^7
50009^78 + 41760^82
50009^28 + 16772^34
50009^51 + 4270^68
50009^69 + 16781^48
50009^67 + 41802^66
50009^26 + 41806^67
50009^36 + 4307^67
50009^17 + 29307^12
50009^84 + 41832^57
50009^23 + 41838^67
50009^23 + 4372^5
50009^96 + 16900^23
50009^21 + 29391^83
50009^33 + 41908^20
50009^22 + 29422^81
50009^28 + 29441^3
y=42000
50009^31 + 42006^47
50009^5 + 29466^28
y=17000
50009^100 + 29505^73
50009^10 + 4561^56
50009^7 + 42120^9
50009^54 + 42133^50
50009^63 + 29599^38
50009^17 + 29615^51
50009^38 + 42221^14
50009^96 + 17220^22
50009^57 + 42255^27
50009^66 + 29722^10
50009^69 + 17385^88
50009^41 + 17388^65
50009^85 + 29837^15
50009^23 + 42394^12
50009^46 + 29862^12
50009^31 + 42428^57
50009^98 + 17433^25
50009^88 + 17438^62
50009^7 + 29910^43
50009^71 + 29933^27
50009^19 + 42496^47
y=5000
50009^53 + 17512^27
50009^86 + 17516^68
50009^18 + 5024^64
y=30000
50009^61 + 5053^86
50009^65 + 42565^59
50009^68 + 5090^89
50009^69 + 42612^48
50009^83 + 17652^63
50009^71 + 17683^50
50009^73 + 17684^90
50009^75 + 17690^16
50009^30 + 5259^63
50009^19 + 5261^9
50009^53 + 17773^68
50009^60 + 30251^66
50009^81 + 17872^41
50009^37 + 17898^53
50009^19 + 17913^30
50009^53 + 30377^83
50009^9 + 17929^61
50009^85 + 42949^15
50009^12 + 17964^81
y=18000
50009^51 + 30462^62
50009^41 + 18084^56
50009^80 + 18101^66
50009^88 + 18102^26
50009^13 + 43139^19
50009^27 + 18153^12
50009^46 + 43188^36
50009^78 + 30629^38
50009^98 + 5666^57
50009^58 + 30672^57
50009^41 + 18230^82
50009^65 + 30689^52
50009^64 + 30710^33
50009^52 + 18273^65
50009^66 + 5760^21
50009^25 + 5785^71
50009^16 + 18299^63
50009^19 + 43325^94
50009^88 + 43347^37
50009^68 + 5830^44
50009^11 + 18365^40
50009^10 + 43401^70
50009^33 + 5893^9
50009^46 + 43471^36
50009^93 + 43474^44
50009^94 + 18486^38
y=6000
y=31000
50009^15 + 6039^58
50009^7 + 43568^19
50009^69 + 6061^84
50009^30 + 31042^49
50009^41 + 43618^47
50009^78 + 6102^63
50009^72 + 31069^87
50009^74 + 6233^81
50009^64 + 18745^100
50009^57 + 43767^19
50009^55 + 6273^81
50009^88 + 31239^54
50009^80 + 43841^44
50009^57 + 31299^17
50009^77 + 6391^37
50009^6 + 31381^84
50009^88 + 6431^92
50009^29 + 18958^55
50009^68 + 43962^28
y=19000
y=44000
50009^87 + 6502^39
50009^34 + 19017^45
50009^15 + 44036^8
50009^12 + 19127^71
50009^7 + 6623^53
50009^83 + 31586^11
50009^16 + 19206^49
50009^80 + 19233^87
50009^40 + 19287^96
50009^53 + 44304^85
50009^85 + 6841^32
50009^29 + 6843^28
50009^77 + 19392^23
50009^96 + 19405^27
50009^5 + 44399^51
50009^96 + 19423^19
50009^89 + 6920^32
50009^49 + 6960^59
50009^64 + 44473^91
50009^81 + 6977^96
50009^82 + 44483^8
50009^52 + 31941^3
50009^50 + 44491^6
y=7000
50009^94 + 19513^31
